,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanortalik,GL,60.1432,-45.2371,23.88,90,100,38.63,snow
1,Cidreira,BR,-30.1811,-50.2056,73.92,89,100,8.03,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,78.06,76,100,16.98,overcast clouds
3,Tabou,CI,4.423,-7.3528,78.87,80,58,1.77,broken clouds
4,Carnarvon,AU,-24.8667,113.6333,91.58,41,6,16.55,clear sky
5,Ushuaia,AR,-54.8,-68.3,38.86,75,20,10.36,few clouds
6,Norman Wells,CA,65.282,-126.8329,-41.76,66,20,6.91,few clouds
7,Bardiyah,LY,31.7561,25.0865,54.97,64,46,25.84,scattered clouds
8,Mataura,NZ,-46.1927,168.8643,53.47,99,100,2.13,overcast clouds
9,Magadan,RU,59.5667,150.8,-1.39,74,10,11.21,clear sky
10,Uhlove,UA,44.8215,33.6045,34.57,80,100,11.92,light snow
11,Chuy,UY,-33.6971,-53.4616,68.38,95,100,6.78,light rain
12,Chapais,CA,49.7834,-74.8492,-34.82,100,55,2.59,broken clouds
13,Coxim,BR,-18.5067,-54.76,72.54,93,100,1.72,light rain
14,Tasiilaq,GL,65.6145,-37.6368,10.56,62,100,6.38,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,39.31,70,75,9.22,broken clouds
16,Kapaa,US,22.0752,-159.319,69.78,72,40,1.01,scattered clouds
17,Hilo,US,19.7297,-155.09,70.79,88,100,0.0,overcast clouds
18,Namibe,AO,-15.1961,12.1522,74.55,63,88,4.81,overcast clouds
19,Bambous Virieux,MU,-20.3428,57.7575,83.21,89,75,21.85,light rain
20,Narsaq,GL,60.9167,-46.05,28.62,96,100,20.15,snow
21,Nikolskoye,RU,59.7035,30.7861,10.8,100,100,3.89,overcast clouds
22,Kavaratti,IN,10.5669,72.642,79.47,66,30,9.57,scattered clouds
23,Busselton,AU,-33.65,115.3333,98.1,38,0,8.32,clear sky
24,Georgetown,MY,5.4112,100.3354,91.33,79,40,11.5,scattered clouds
25,Orlik,RU,52.5178,99.825,6.12,83,24,0.38,few clouds
26,Kamenka,RU,51.3223,42.7678,25.75,97,100,8.79,overcast clouds
27,Terrasini,IT,38.146,13.0844,62.17,39,0,23.02,clear sky
28,Kodiak,US,57.79,-152.4072,34.32,92,100,12.1,overcast clouds
29,Bengkulu,ID,-3.8004,102.2655,81.84,79,89,7.43,moderate rain
30,Vao,NC,-22.6667,167.4833,77.68,87,98,17.2,overcast clouds
31,Hobart,AU,-42.8794,147.3294,65.26,69,20,1.01,few clouds
32,Klaksvik,FO,62.2266,-6.589,36.52,71,100,44.0,overcast clouds
33,Thinadhoo,MV,0.5333,72.9333,82.38,71,100,10.78,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,64.9,50,6,1.99,clear sky
35,Nyurba,RU,63.2842,118.3319,-18.44,99,22,3.33,few clouds
36,Upernavik,GL,72.7868,-56.1549,7.61,78,100,8.88,overcast clouds
37,Albany,US,42.6001,-73.9662,35.47,89,100,1.99,snow
38,Ust-Nera,RU,64.5667,143.2,-16.44,89,40,3.09,scattered clouds
39,Hermanus,ZA,-34.4187,19.2345,69.8,54,17,12.84,few clouds
40,Saint-Philippe,RE,-21.3585,55.7679,81.95,92,100,30.98,moderate rain
41,Palora,EC,-1.7,-77.9333,65.03,96,87,2.28,overcast clouds
42,Mahebourg,MU,-20.4081,57.7,83.25,89,75,21.85,broken clouds
43,Saldanha,ZA,-33.0117,17.9442,65.1,62,1,20.98,clear sky
44,Alofi,NU,-19.0595,-169.9187,75.09,94,100,10.36,overcast clouds
45,Vaini,TO,-21.2,-175.2,80.76,89,75,8.05,broken clouds
46,Avera,US,33.194,-82.5271,66.7,82,100,15.12,overcast clouds
47,Kangaatsiaq,GL,68.3065,-53.4641,8.55,86,100,8.23,overcast clouds
48,Lorengau,PG,-2.0226,147.2712,82.09,67,100,8.37,overcast clouds
49,Bluff,NZ,-46.6,168.3333,53.8,73,100,7.9,overcast clouds
50,Gazanjyk,TM,39.2446,55.5154,61.63,25,0,0.87,clear sky
51,Salinopolis,BR,-0.6136,-47.3561,77.88,86,100,10.0,light rain
52,Lompoc,US,34.6391,-120.4579,53.13,90,0,5.75,clear sky
53,Cape Town,ZA,-33.9258,18.4232,74.12,53,8,5.99,clear sky
54,Manacor,ES,39.5696,3.2096,55.51,82,7,3.6,clear sky
55,Avarua,CK,-21.2078,-159.775,78.85,83,75,11.5,broken clouds
56,Puerto Colombia,CO,10.9878,-74.9547,78.89,84,2,24.7,clear sky
57,Victoria,HK,22.2855,114.1577,68.04,65,56,1.01,broken clouds
58,Dingle,PH,10.9995,122.6711,76.44,86,100,12.66,overcast clouds
59,Port Lincoln,AU,-34.7333,135.8667,67.89,56,100,13.53,overcast clouds
60,Turukhansk,RU,65.8167,87.9833,13.71,94,100,11.77,light snow
61,Caravelas,BR,-17.7125,-39.2481,74.62,91,94,3.78,overcast clouds
62,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.42,93,95,5.32,overcast clouds
63,Laguna,US,38.421,-121.4238,49.08,85,0,3.44,clear sky
64,Eyl,SO,7.9803,49.8164,82.69,44,2,18.86,clear sky
65,Port Elizabeth,ZA,-33.918,25.5701,71.89,56,100,14.97,overcast clouds
66,Umm Lajj,SA,25.0213,37.2685,67.37,44,0,20.36,clear sky
67,Iberia,US,29.9502,-91.7507,37.96,93,100,16.11,overcast clouds
68,Airai,TL,-8.9266,125.4092,67.32,82,100,3.74,light rain
69,Port Alfred,ZA,-33.5906,26.891,72.27,61,100,14.03,overcast clouds
70,Assiniboia,CA,49.6334,-105.9845,-18.58,69,87,5.75,overcast clouds
71,Vanderhoof,CA,54.0166,-124.0198,26.17,99,100,2.17,overcast clouds
72,Ketchikan,US,55.3422,-131.6461,46.38,93,100,17.27,mist
73,Husavik,IS,66.0449,-17.3389,24.71,78,100,21.41,light snow
74,Galle,LK,6.0367,80.217,81.63,66,6,6.2,clear sky
75,Beian,NO,63.6559,9.5683,35.01,100,75,8.05,light shower snow
76,Tulagi,SB,-9.0996,160.1476,81.32,78,100,12.3,heavy intensity rain
77,Daru,PG,-9.0763,143.2092,82.45,82,100,14.03,overcast clouds
78,Impfondo,CG,1.6381,18.0667,83.68,46,100,4.34,overcast clouds
79,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,14.97,few clouds
80,Kaberamaido,UG,1.7389,33.1594,85.23,33,94,5.88,overcast clouds
81,Atuona,PF,-9.8,-139.0333,78.48,74,1,20.15,clear sky
82,Bay-Khaak,RU,51.1667,94.5,-2.74,88,40,0.16,scattered clouds
83,Biak,ID,-0.9131,122.8766,83.28,70,100,1.32,overcast clouds
84,Geraldton,AU,-28.7667,114.6,97.21,17,0,16.11,clear sky
85,Constitucion,CL,-35.3333,-72.4167,56.77,91,53,2.15,broken clouds
86,Lebu,CL,-37.6167,-73.65,60.49,88,91,14.03,overcast clouds
87,Salamanca,ES,40.8333,-6.0,38.98,75,100,5.14,overcast clouds
88,Manta,EC,-0.95,-80.7333,75.07,80,100,9.82,overcast clouds
89,Souillac,MU,-20.5167,57.5167,83.35,89,75,21.85,light rain
90,Half Moon Bay,US,37.4636,-122.4286,55.4,75,0,0.0,clear sky
91,Iranshahr,IR,27.2025,60.6848,71.94,17,0,0.0,clear sky
92,Zhanakorgan,KZ,43.9098,67.2495,38.46,76,15,4.09,few clouds
93,Horsham,GB,51.064,-0.3272,51.03,84,40,14.97,scattered clouds
94,Namatanai,PG,-3.6667,152.4333,81.61,76,100,10.42,overcast clouds
95,Naryan-Mar,RU,67.6713,53.087,-0.27,99,93,4.12,overcast clouds
96,Yellowknife,CA,62.456,-114.3525,-30.48,68,0,5.75,clear sky
97,Vila Velha,BR,-20.3297,-40.2925,75.15,92,75,2.3,broken clouds
98,Lavrentiya,RU,65.5833,-171.0,1.78,54,0,21.92,clear sky
99,Cascais,PT,38.6979,-9.4215,56.52,79,20,1.01,few clouds
100,Guanica,PR,17.9716,-66.908,74.21,87,37,1.01,scattered clouds
101,Saint Anthony,US,45.0205,-93.218,1.94,66,100,1.99,overcast clouds
102,Lusambo,CD,-4.9667,23.45,70.2,90,100,2.13,overcast clouds
103,Ahipara,NZ,-35.1667,173.1667,70.38,92,69,12.68,broken clouds
104,Butaritari,KI,3.0707,172.7902,82.36,76,8,16.4,light rain
105,Kunming,CN,25.0389,102.7183,60.73,27,0,17.9,clear sky
106,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,91,100,1.9,overcast clouds
107,Abha,SA,18.2164,42.5053,69.62,40,0,17.27,clear sky
108,Kudahuvadhoo,MV,2.6708,72.8944,81.77,70,38,7.43,scattered clouds
109,Barrow,US,71.2906,-156.7887,-27.38,75,0,4.61,clear sky
110,Kieta,PG,-6.2167,155.6333,81.81,83,100,9.01,overcast clouds
111,Esperance,AU,-33.8667,121.9,76.87,55,6,22.66,clear sky
112,Batagay-Alyta,RU,67.8006,130.4114,-23.71,98,56,3.6,broken clouds
113,Mar Del Plata,AR,-38.0023,-57.5575,67.08,96,100,0.0,fog
114,Ishigaki,JP,24.3448,124.1572,60.93,94,75,17.27,broken clouds
115,Khatanga,RU,71.9667,102.5,-30.86,100,97,4.23,overcast clouds
116,Lakes Entrance,AU,-37.8811,147.981,67.15,70,15,11.14,few clouds
117,Thompson,CA,55.7435,-97.8558,-25.44,75,0,6.91,clear sky
118,Kruisfontein,ZA,-34.0033,24.7314,67.89,60,96,9.15,overcast clouds
119,Duku,NG,11.2361,4.9073,70.63,13,0,12.35,clear sky
120,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,10.36,broken clouds
121,Cherskiy,RU,68.75,161.3,-32.62,99,7,3.85,clear sky
122,Tuktoyaktuk,CA,69.4541,-133.0374,-23.84,100,99,7.18,overcast clouds
123,Raton,US,36.9034,-104.4391,7.57,83,0,3.44,clear sky
124,Iquique,CL,-20.2208,-70.1431,64.44,74,0,3.06,clear sky
125,Ozernovskiy,RU,51.5,156.5167,27.73,88,100,7.09,overcast clouds
126,Saint George,US,37.1041,-113.5841,36.19,44,0,1.01,clear sky
127,East London,ZA,-33.0153,27.9116,72.54,73,75,14.97,broken clouds
128,Vanimo,PG,-2.6741,141.3028,81.63,77,67,6.78,broken clouds
129,Tevaitoa,PF,-16.7833,-151.5,80.17,74,11,15.64,few clouds
130,Guerrero Negro,MX,27.9769,-114.0611,52.95,35,0,3.38,clear sky
131,Siavonga,ZM,-16.5382,28.7088,79.36,79,86,3.13,moderate rain
132,Asau,RO,46.4333,26.4,29.32,70,71,5.64,broken clouds
133,Castro,BR,-24.7911,-50.0119,63.9,98,99,3.33,overcast clouds
134,Tupiza,BO,-21.45,-65.7167,53.4,85,25,2.86,scattered clouds
135,Erzin,TR,36.9559,36.2,52.32,71,96,1.57,overcast clouds
136,Lithakia,GR,37.7167,20.8333,53.02,87,20,0.0,few clouds
137,Muyezerskiy,RU,63.9333,31.65,0.43,98,90,3.83,overcast clouds
138,Sao Filipe,CV,14.8961,-24.4956,72.63,75,0,6.35,clear sky
139,Kibala,TD,9.1104,18.3463,80.67,10,15,9.01,few clouds
140,Zhigansk,RU,66.7697,123.3711,-33.11,99,76,4.18,broken clouds
141,Saskylakh,RU,71.9167,114.0833,-11.52,99,100,3.36,light snow
142,Graham,US,47.0529,-122.2943,45.9,93,100,0.0,overcast clouds
143,Tiksi,RU,71.6872,128.8694,-11.43,100,100,4.34,overcast clouds
144,Lagos,NG,6.5833,3.75,81.68,68,0,3.85,clear sky
145,Noshiro,JP,40.2039,140.0242,29.34,57,100,17.54,overcast clouds
146,Xinyu,CN,27.8043,114.9334,45.34,71,100,4.92,overcast clouds
147,Faanui,PF,-16.4833,-151.75,80.78,76,10,15.79,clear sky
148,Dakar,SN,14.6937,-17.4441,74.28,83,0,2.3,clear sky
149,Hithadhoo,MV,-0.6,73.0833,82.18,72,100,10.58,overcast clouds
150,Taganak,PH,6.0833,118.3,80.74,77,52,11.95,light rain
151,Magalia,US,39.8121,-121.5783,47.75,59,0,9.35,clear sky
152,Cuencame,MX,24.8711,-103.6964,47.82,65,0,7.63,clear sky
153,Menongue,AO,-14.6585,17.691,62.2,95,100,2.8,light rain
154,Pevek,RU,69.7008,170.3133,-21.19,100,62,1.83,broken clouds
155,Fortuna,US,40.5982,-124.1573,45.93,94,100,0.0,overcast clouds
156,Korla,CN,41.7597,86.1469,31.75,31,100,3.2,overcast clouds
157,Bubaque,GW,11.2833,-15.8333,76.82,67,0,5.53,clear sky
158,Dali,CN,25.7,100.1833,58.57,36,19,8.12,few clouds
159,Meulaboh,ID,4.1363,96.1285,84.29,66,65,5.75,broken clouds
160,Bagdarin,RU,54.4333,113.6,5.9,85,100,3.98,overcast clouds
161,Suntar,RU,62.1444,117.6319,-13.27,100,77,1.61,broken clouds
162,Yulara,AU,-25.2406,130.9889,87.64,18,97,11.5,overcast clouds
163,Hutchinson,US,38.0608,-97.9298,12.34,73,0,3.44,clear sky
164,Jamestown,US,42.097,-79.2353,19.09,67,100,4.0,light snow
165,Atar,MR,20.5169,-13.0499,62.65,19,48,6.51,scattered clouds
166,Timra,SE,62.487,17.3257,33.51,94,100,12.66,snow
167,Huarmey,PE,-10.0681,-78.1522,70.41,84,76,6.6,broken clouds
168,Lagoa,PT,39.05,-27.9833,57.42,82,100,13.09,overcast clouds
169,Vila,PT,42.0304,-8.1588,41.88,89,100,1.28,overcast clouds
170,Vardo,NO,70.3705,31.1107,17.8,86,40,12.66,scattered clouds
171,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,5,4.16,clear sky
172,Isangel,VU,-19.55,169.2667,80.29,87,100,6.02,moderate rain
173,Quelimane,MZ,-17.8786,36.8883,85.95,70,20,4.61,few clouds
174,Bredasdorp,ZA,-34.5322,20.0403,69.28,46,91,9.53,overcast clouds
175,Aripuana,BR,-9.1667,-60.6333,71.01,99,100,0.16,overcast clouds
176,Latung,PH,5.5,120.8833,81.7,69,80,5.12,light rain
177,Te Anau,NZ,-45.4167,167.7167,47.53,96,100,5.48,overcast clouds
178,Tukrah,LY,32.5341,20.5791,56.61,56,12,18.97,few clouds
179,Amasya,TR,40.6667,35.8333,40.95,90,100,5.08,overcast clouds
180,Fort Walton Beach,US,30.4058,-86.6188,70.74,92,100,5.99,thunderstorm with light rain
181,Kushiro,JP,42.975,144.3747,27.55,50,40,4.61,scattered clouds
182,Luderitz,NA,-26.6481,15.1594,75.45,56,8,6.89,clear sky
183,Codrington,AU,-38.2667,141.9667,63.97,71,47,17.16,scattered clouds
184,Iracoubo,GF,5.4802,-53.2011,75.87,90,70,11.5,broken clouds
185,Hobyo,SO,5.3505,48.5268,81.57,57,27,22.08,scattered clouds
186,Coihaique,CL,-45.5752,-72.0662,48.15,87,0,2.3,clear sky
187,Aklavik,CA,68.2191,-135.0107,-21.17,99,18,9.71,few clouds
