City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Severomorsk,69.0689,33.4162,3.6,96,100,5.3,RU,2022-02-04 02:10:56
1,San Cristobal,7.7669,-72.225,73.58,64,85,1.43,VE,2022-02-04 02:10:56
2,Rikitea,-23.1203,-134.9692,77.97,74,100,18.88,PF,2022-02-04 02:10:57
3,Ushuaia,-54.8,-68.3,42.46,70,75,23.02,AR,2022-02-04 02:10:57
4,Kununurra,-15.7667,128.7333,85.98,74,75,4.61,AU,2022-02-04 02:10:58
5,Mataura,-46.1927,168.8643,49.3,99,100,3.11,NZ,2022-02-04 02:10:58
6,Sioux Lookout,50.1001,-91.917,-8.72,93,100,4.72,CA,2022-02-04 02:10:58
7,Atuona,-9.8,-139.0333,78.91,72,4,16.35,PF,2022-02-04 02:10:59
8,East London,-33.0153,27.9116,69.39,81,100,15.5,ZA,2022-02-04 02:10:59
9,Yellowknife,62.456,-114.3525,-26.45,67,32,5.01,CA,2022-02-04 02:11:00
10,Vila Franca Do Campo,37.7167,-25.4333,60.19,82,100,11.41,PT,2022-02-04 02:11:00
11,Bilibino,68.0546,166.4372,-3.51,68,0,3.67,RU,2022-02-04 02:11:00
12,Punta Arenas,-53.15,-70.9167,44.71,57,75,8.05,CL,2022-02-04 02:11:01
13,Kapaa,22.0752,-159.319,78.78,67,0,1.01,US,2022-02-04 02:11:02
14,Jamestown,42.097,-79.2353,23.09,67,100,8.01,US,2022-02-04 02:11:02
15,Genhe,50.7833,121.5167,-2.83,72,76,4.68,CN,2022-02-04 02:11:02
16,Lere,10.387,8.5726,61.9,16,0,7.43,NG,2022-02-04 02:11:03
17,Busselton,-33.65,115.3333,96.04,35,67,15.57,AU,2022-02-04 02:11:03
18,Saint-Georges,12.0564,-61.7485,77.45,74,7,13.06,GD,2022-02-04 02:09:20
19,Cidreira,-30.1811,-50.2056,75.87,88,80,23.58,BR,2022-02-04 02:11:04
20,Chik,54.9928,82.4311,6.55,84,25,6.71,RU,2022-02-04 02:11:04
21,Vardo,70.3705,31.1107,26.62,63,100,13.06,NO,2022-02-04 02:08:32
22,Barcelona,41.3888,2.159,55.33,79,0,1.01,ES,2022-02-04 02:10:02
23,Shelburne,44.0787,-80.2041,10.9,88,100,12.82,CA,2022-02-04 02:11:05
24,Butaritari,3.0707,172.7902,82.24,75,15,13.78,KI,2022-02-04 02:11:05
25,Hambantota,6.1241,81.1185,70.14,100,20,1.14,LK,2022-02-04 02:06:11
26,Shimoda,34.6667,138.95,44.1,63,100,4.59,JP,2022-02-04 02:11:06
27,Port Alfred,-33.5906,26.891,69.71,74,96,16.46,ZA,2022-02-04 02:11:06
28,Port Elizabeth,-33.918,25.5701,67.1,73,98,13.82,ZA,2022-02-04 02:11:07
29,Lisala,2.15,21.5167,66.24,68,100,2.84,CD,2022-02-04 02:11:07
30,Verkhoyansk,67.5447,133.385,-34.33,100,77,1.74,RU,2022-02-04 02:11:08
31,Birjand,32.8663,59.2211,39.99,23,58,1.25,IR,2022-02-04 02:11:08
32,Dikson,73.5069,80.5464,-6.9,94,100,5.99,RU,2022-02-04 02:10:12
33,Vaini,-21.2,-175.2,86.16,79,75,10.36,TO,2022-02-04 02:11:09
34,Kaitangata,-46.2817,169.8464,48.63,97,100,1.36,NZ,2022-02-04 02:11:09
35,Souillac,-20.5167,57.5167,80.37,88,100,17.98,MU,2022-02-04 02:11:10
36,Komsomolskiy,40.4272,71.7189,31.42,86,2,4.61,UZ,2022-02-04 02:11:10
37,Glenwood Springs,39.5505,-107.3248,15.03,61,0,8.05,US,2022-02-04 02:11:11
38,Vitim,59.4511,112.5578,9.0,94,100,8.32,RU,2022-02-04 02:11:11
39,Puerto Maldonado,-12.6,-69.1833,72.79,98,19,2.93,PE,2022-02-04 02:11:11
40,Carnarvon,-24.8667,113.6333,92.66,35,13,8.01,AU,2022-02-04 02:11:12
41,Charters Towers,-20.1,146.2667,76.44,75,100,12.5,AU,2022-02-04 02:11:12
42,Avarua,-21.2078,-159.775,84.25,74,40,18.41,CK,2022-02-04 02:11:13
43,Barrow,71.2906,-156.7887,-27.38,75,100,4.61,US,2022-02-04 02:10:53
44,Bluff,-46.6,168.3333,49.5,83,100,1.5,NZ,2022-02-04 02:11:13
45,Balikpapan,-1.2675,116.8289,85.19,74,20,5.75,ID,2022-02-04 02:12:14
46,Georgetown,5.4112,100.3354,84.13,75,20,5.75,MY,2022-02-04 02:11:21
47,Brae,60.3964,-1.353,35.51,51,100,30.0,GB,2022-02-04 02:12:14
48,Riyadh,24.6877,46.7219,60.94,37,12,5.59,SA,2022-02-04 02:12:15
49,Tual,-5.6667,132.75,83.52,73,90,14.09,ID,2022-02-04 02:12:15
50,Victoria,22.2855,114.1577,59.25,77,77,1.01,HK,2022-02-04 02:11:07
51,Hithadhoo,-0.6,73.0833,81.61,73,100,10.25,MV,2022-02-04 02:12:16
52,San Juan,-31.5375,-68.5364,80.73,38,5,8.75,AR,2022-02-04 02:12:16
53,Geraldton,-28.7667,114.6,101.12,11,0,16.11,AU,2022-02-04 02:12:17
54,Kudahuvadhoo,2.6708,72.8944,80.98,72,2,10.76,MV,2022-02-04 02:12:17
55,Lazaro Cardenas,17.9583,-102.2,73.24,73,0,6.2,MX,2022-02-04 02:12:18
56,Yeppoon,-23.1333,150.7333,83.98,81,100,16.64,AU,2022-02-04 02:12:18
57,Castro,-24.7911,-50.0119,65.12,98,100,5.37,BR,2022-02-04 02:12:18
58,Manono,-7.3,27.4167,67.41,98,100,2.98,CD,2022-02-04 02:12:19
59,Mahebourg,-20.4081,57.7,80.26,88,100,22.5,MU,2022-02-04 02:12:19
60,Tuatapere,-46.1333,167.6833,49.59,91,100,4.03,NZ,2022-02-04 02:12:20
61,Zyryanka,65.75,150.85,-23.62,99,100,4.85,RU,2022-02-04 02:12:20
62,Ingham,42.6,-84.3833,16.18,76,40,12.66,US,2022-02-04 02:12:20
63,Buala,-8.145,159.5921,75.88,91,100,6.55,SB,2022-02-04 02:12:21
64,Sabang,5.8933,95.3214,82.29,71,87,14.03,ID,2022-02-04 02:12:21
65,Ponta Do Sol,32.6667,-17.1,66.0,73,37,4.36,PT,2022-02-04 02:12:22
66,Post Falls,47.718,-116.9516,30.43,91,100,1.99,US,2022-02-04 02:12:22
67,Qaanaaq,77.484,-69.3632,-14.31,56,98,8.25,GL,2022-02-04 02:08:39
68,Cherskiy,68.75,161.3,-28.08,98,21,3.65,RU,2022-02-04 02:12:23
69,Leshukonskoye,64.8989,45.7622,-3.77,100,91,2.57,RU,2022-02-04 02:12:23
70,Kamenka,51.3223,42.7678,28.74,99,100,5.01,RU,2022-02-04 02:12:24
71,Mehamn,71.0357,27.8492,19.2,83,86,12.82,NO,2022-02-04 02:12:24
72,Kieta,-6.2167,155.6333,77.86,89,100,6.53,PG,2022-02-04 02:12:24
73,Hyderabad,17.3753,78.4744,69.31,55,20,1.14,IN,2022-02-04 02:08:34
74,Lebu,-37.6167,-73.65,59.76,92,17,12.68,CL,2022-02-04 02:12:25
75,Puerto Ayora,-0.7393,-90.3518,75.54,92,8,3.0,EC,2022-02-04 02:12:25
76,Longyearbyen,78.2186,15.6401,13.84,73,75,10.36,SJ,2022-02-04 02:12:26
77,Kholmy,51.871,32.6006,16.05,96,93,10.02,UA,2022-02-04 02:12:26
78,Avera,33.194,-82.5271,69.85,72,100,14.88,US,2022-02-04 02:12:27
79,Kutum,14.2,24.6667,57.16,15,0,12.62,SD,2022-02-04 02:12:27
80,Bethel,41.3712,-73.414,47.48,94,100,0.0,US,2022-02-04 02:12:28
81,Santiago Del Estero,-27.7951,-64.2615,79.29,66,17,3.6,AR,2022-02-04 02:12:16
82,Lata,40.1629,-8.3327,48.07,95,98,1.28,PT,2022-02-04 02:12:28
83,Mandera,3.9366,41.867,77.67,33,77,6.31,KE,2022-02-04 02:12:29
84,Veracruz,19.3333,-96.6667,66.87,88,14,3.02,MX,2022-02-04 02:12:29
85,Nikolskoye,59.7035,30.7861,1.29,100,100,2.17,RU,2022-02-04 02:12:29
86,Albany,42.6001,-73.9662,39.07,91,100,3.0,US,2022-02-04 02:12:30
87,Quatre Cocos,-20.2078,57.7625,80.1,89,100,20.94,MU,2022-02-04 02:12:30
88,Touros,-5.1989,-35.4608,81.5,75,61,13.33,BR,2022-02-04 02:12:31
89,Tilichiki,60.4667,166.1,3.99,76,100,10.49,RU,2022-02-04 02:12:31
90,Taltal,-25.4,-70.4833,68.49,69,0,4.68,CL,2022-02-04 02:12:31
91,Naze,28.3667,129.4833,53.96,73,100,17.45,JP,2022-02-04 02:12:32
92,Hobart,-42.8794,147.3294,70.02,47,9,3.0,AU,2022-02-04 02:08:27
93,Oksfjord,70.2396,22.3479,14.92,94,56,16.42,NO,2022-02-04 02:13:32
94,Bathsheba,13.2167,-59.5167,77.61,69,20,12.66,BB,2022-02-04 02:13:33
95,Nome,64.5011,-165.4064,6.87,52,0,32.21,US,2022-02-04 02:09:18
96,Cape Town,-33.9258,18.4232,62.28,64,32,5.01,ZA,2022-02-04 02:13:33
97,Chimbote,-9.0853,-78.5783,70.3,83,10,7.27,PE,2022-02-04 02:13:34
98,Jumla,29.2747,82.1838,34.63,98,100,6.53,NP,2022-02-04 02:13:34
99,Arraial Do Cabo,-22.9661,-42.0278,75.43,91,100,9.73,BR,2022-02-04 02:13:35
100,Grindavik,63.8424,-22.4338,27.07,68,75,19.57,IS,2022-02-04 02:13:35
101,Hermanus,-34.4187,19.2345,60.91,72,100,9.17,ZA,2022-02-04 02:13:36
102,Sivas,39.7916,37.0019,27.23,100,75,11.5,TR,2022-02-04 02:13:36
103,Pedernales,18.0384,-71.744,76.46,71,15,3.91,DO,2022-02-04 02:13:37
104,Takhtamygda,54.1,123.5667,-0.04,63,80,7.47,RU,2022-02-04 02:13:37
105,Saldanha,-33.0117,17.9442,61.5,81,0,18.86,ZA,2022-02-04 02:13:37
106,Aksarka,66.5606,67.7975,-13.29,100,99,1.23,RU,2022-02-04 02:13:38
107,Thompson,55.7435,-97.8558,-19.86,97,22,5.7,CA,2022-02-04 02:09:45
108,Aklavik,68.2191,-135.0107,-29.16,99,14,6.31,CA,2022-02-04 02:13:38
109,Olafsvik,64.8945,-23.7142,27.7,74,98,28.48,IS,2022-02-04 02:13:39
110,Sungaipenuh,-2.0833,101.3833,71.62,80,84,1.5,ID,2022-02-04 02:13:39
111,Berlevag,70.8578,29.0864,21.4,80,98,13.91,NO,2022-02-04 02:08:41
112,Cockburn Town,21.4612,-71.1419,75.76,71,0,20.56,TC,2022-02-04 02:09:36
113,La Ronge,55.1001,-105.2842,-14.31,95,77,7.27,CA,2022-02-04 02:13:40
114,Huilong,31.8111,121.655,42.98,55,6,8.01,CN,2022-02-04 02:13:41
115,Nabire,-3.3667,135.4833,78.37,87,100,2.44,ID,2022-02-04 02:13:41
116,Alexandria,31.2156,29.9553,50.27,73,34,18.81,EG,2022-02-04 02:08:51
117,Ketchikan,55.3422,-131.6461,44.58,93,100,18.41,US,2022-02-04 02:13:42
118,Deputatskiy,69.3,139.9,-24.29,97,49,2.04,RU,2022-02-04 02:13:42
119,Codrington,-38.2667,141.9667,65.52,62,81,15.01,AU,2022-02-04 02:13:42
120,Vanimo,-2.6741,141.3028,83.44,70,52,3.36,PG,2022-02-04 02:13:43
121,Viedma,-40.8135,-62.9967,70.43,48,11,8.46,AR,2022-02-04 02:13:43
122,Diamantino,-14.4086,-56.4461,72.37,95,45,4.0,BR,2022-02-04 02:11:03
